//This file contains information on the nuclies from the experiment.
//Written in the order of nuclide, atomic number, mass number.
"S31",16,31
"S32",16,32
"S33",16,33
"S34",16,34
"S35",16,35
"S36",16,36
"Cl31",17,31
"Cl32",17,32
"Cl33",17,33
"Cl34",17,34
"Cl35",17,35
"Cl36",17,36
"Cl37",17,37
"Cl38",17,38
"Ar32",18,32
"Ar33",18,33
"Ar34",18,34
"Ar35",18,35
"Ar36",18,36
"Ar37",18,37
"Ar38",18,38
"Ar39",18,39
"Ar40",18,40
"K34",19,34
"K35",19,35
"K36",19,36
"K37",19,37
"K38",19,38
"K39",19,39
"K40",19,40
"K41",19,41
"K41",19,41
"K42",19,42
"Ca36",20,36
"Ca37",20,37
"Ca38",20,38
"Ca39",20,39
"Ca40",20,40
"Ca41",20,41
"Ca41",20,41
"Ca42",20,42
"Ca43",20,43
"Ca44",20,43
"Sc38",21,38
"Sc39",21,39
"Sc40",21,40
"Sc41",21,41
"Sc42",21,42
"Sc43",21,43
"Sc44",21,43
"Sc45",21,45
"Sc46",21,46
"Ti40",22,40
"Ti41",22,41
"Ti42",22,42
"Ti43",22,43
"Ti44",22,43
"Ti45",22,45
"Ti46",22,46
"Ti47",22,47
"Ti48",22,48
"V42",23,42
"V43",23,43
"V44",23,44
"V45",23,45
"V46",23,46
"V47",23,47
"V48",23,48
"V49",23,49
"V50",23,50
"Cr44",24,44
"Cr45",24,45
"Cr46",24,46
"Cr47",24,47
"Cr48",24,48
"Cr49",24,49
"Cr50",24,50
"Cr51",24,51
"Cr52",24,52
"Mn46",25,46
"Mn47",25,47
"Mn48",25,48
"Mn49",25,49
"Mn50",25,50
"Mn51",25,51
"Mn52",25,52
"Mn53",25,53
"Mn54",25,54
"Fe48",26,48
"Fe49",26,49
"Fe50",26,50
"Fe51",26,51
"Fe52",26,52
"Fe53",26,53
"Fe54",26,54
"Fe55",26,55
"Fe56",26,56
